index;type;minority_decision;majority_decision
420;BORDERLINE;10=>2;10=>1
421;RARE;10=>2;10=>1
423;RARE;10=>2;10=>1
424;OUTLIER;10=>2;10=>1
425;RARE;10=>2;10=>1
430;RARE;10=>2;10=>1
431;BORDERLINE;10=>2;10=>1
432;RARE;10=>2;10=>1
433;RARE;10=>2;10=>1
434;BORDERLINE;10=>2;10=>1
435;BORDERLINE;10=>2;10=>1
436;RARE;10=>2;10=>1
438;BORDERLINE;10=>2;10=>1
439;BORDERLINE;10=>2;10=>1
442;RARE;10=>2;10=>1
443;RARE;10=>2;10=>1
444;BORDERLINE;10=>2;10=>1
445;BORDERLINE;10=>2;10=>1
446;SAFE;10=>2;10=>1
447;BORDERLINE;10=>2;10=>1
449;BORDERLINE;10=>2;10=>1
450;OUTLIER;10=>2;10=>1
451;RARE;10=>2;10=>1
452;BORDERLINE;10=>2;10=>1
453;RARE;10=>2;10=>1
454;RARE;10=>2;10=>1
455;RARE;10=>2;10=>1
456;BORDERLINE;10=>2;10=>1
457;SAFE;10=>2;10=>1
473;BORDERLINE;10=>2;10=>1
474;OUTLIER;10=>2;10=>1
475;BORDERLINE;10=>2;10=>1
477;BORDERLINE;10=>2;10=>1
478;RARE;10=>2;10=>1
479;BORDERLINE;10=>2;10=>1
480;SAFE;10=>2;10=>1
481;RARE;10=>2;10=>1
482;BORDERLINE;10=>2;10=>1
484;BORDERLINE;10=>2;10=>1
485;OUTLIER;10=>2;10=>1
497;BORDERLINE;10=>2;10=>1
498;RARE;10=>2;10=>1
499;BORDERLINE;10=>2;10=>1
500;RARE;10=>2;10=>1
501;OUTLIER;10=>2;10=>1
502;BORDERLINE;10=>2;10=>1
503;OUTLIER;10=>2;10=>1
504;BORDERLINE;10=>2;10=>1
505;RARE;10=>2;10=>1
506;BORDERLINE;10=>2;10=>1
507;RARE;10=>2;10=>1
508;RARE;10=>2;10=>1
509;OUTLIER;10=>2;10=>1
510;RARE;10=>2;10=>1
516;SAFE;10=>3;10=>2
517;SAFE;10=>3;10=>2
518;BORDERLINE;10=>3;10=>2
519;SAFE;10=>3;10=>2
8;BORDERLINE;10=>3;10=>2
520;RARE;10=>3;10=>2
9;BORDERLINE;10=>3;10=>2
521;SAFE;10=>3;10=>2
10;BORDERLINE;10=>3;10=>2
522;SAFE;10=>3;10=>2
523;SAFE;10=>3;10=>2
524;SAFE;10=>3;10=>2
525;SAFE;10=>3;10=>2
526;RARE;10=>3;10=>2
527;BORDERLINE;10=>3;10=>2
528;SAFE;10=>3;10=>2
529;SAFE;10=>3;10=>2
530;SAFE;10=>3;10=>2
531;BORDERLINE;10=>3;10=>2
537;BORDERLINE;10=>3;10=>2
282;OUTLIER;10=>3;10=>2
538;BORDERLINE;10=>3;10=>2
539;BORDERLINE;10=>3;10=>2
540;SAFE;10=>3;10=>2
541;BORDERLINE;10=>3;10=>2
542;SAFE;10=>3;10=>2
543;SAFE;10=>3;10=>2
544;SAFE;10=>3;10=>2
545;SAFE;10=>3;10=>2
43;BORDERLINE;10=>3;10=>2
53;OUTLIER;10=>3;10=>2
318;OUTLIER;10=>3;10=>2
319;RARE;10=>3;10=>2
320;BORDERLINE;10=>3;10=>2
321;BORDERLINE;10=>3;10=>2
322;RARE;10=>3;10=>2
323;SAFE;10=>3;10=>2
324;BORDERLINE;10=>3;10=>2
325;SAFE;10=>3;10=>2
326;SAFE;10=>3;10=>2
327;BORDERLINE;10=>3;10=>2
328;BORDERLINE;10=>3;10=>2
329;SAFE;10=>3;10=>2
330;BORDERLINE;10=>3;10=>2
331;SAFE;10=>3;10=>2
336;SAFE;10=>3;10=>2
337;SAFE;10=>3;10=>2
338;RARE;10=>3;10=>2
344;OUTLIER;10=>3;10=>2
92;SAFE;10=>3;10=>2
93;BORDERLINE;10=>3;10=>2
94;BORDERLINE;10=>3;10=>2
353;BORDERLINE;10=>3;10=>2
354;BORDERLINE;10=>3;10=>2
357;SAFE;10=>3;10=>2
102;RARE;10=>3;10=>2
358;BORDERLINE;10=>3;10=>2
103;OUTLIER;10=>3;10=>2
359;SAFE;10=>3;10=>2
360;BORDERLINE;10=>3;10=>2
361;BORDERLINE;10=>3;10=>2
362;OUTLIER;10=>3;10=>2
364;BORDERLINE;10=>3;10=>2
365;BORDERLINE;10=>3;10=>2
366;SAFE;10=>3;10=>2
367;BORDERLINE;10=>3;10=>2
112;OUTLIER;10=>3;10=>2
368;BORDERLINE;10=>3;10=>2
115;OUTLIER;10=>3;10=>2
371;SAFE;10=>3;10=>2
116;OUTLIER;10=>3;10=>2
372;RARE;10=>3;10=>2
117;RARE;10=>3;10=>2
373;SAFE;10=>3;10=>2
118;BORDERLINE;10=>3;10=>2
374;SAFE;10=>3;10=>2
119;RARE;10=>3;10=>2
375;SAFE;10=>3;10=>2
376;RARE;10=>3;10=>2
377;SAFE;10=>3;10=>2
378;BORDERLINE;10=>3;10=>2
379;RARE;10=>3;10=>2
380;SAFE;10=>3;10=>2
125;BORDERLINE;10=>3;10=>2
381;SAFE;10=>3;10=>2
126;BORDERLINE;10=>3;10=>2
382;BORDERLINE;10=>3;10=>2
127;SAFE;10=>3;10=>2
128;RARE;10=>3;10=>2
129;OUTLIER;10=>3;10=>2
386;BORDERLINE;10=>3;10=>2
387;BORDERLINE;10=>3;10=>2
388;SAFE;10=>3;10=>2
389;BORDERLINE;10=>3;10=>2
390;RARE;10=>3;10=>2
135;SAFE;10=>3;10=>2
