index;type;minority_decision;majority_decision
768;RARE;4=>6;4=>4
3;BORDERLINE;4=>6;4=>4
11;BORDERLINE;4=>6;4=>4
525;BORDERLINE;4=>6;4=>4
782;BORDERLINE;4=>6;4=>4
783;BORDERLINE;4=>6;4=>4
20;RARE;4=>6;4=>4
21;RARE;4=>6;4=>4
535;OUTLIER;4=>6;4=>4
281;BORDERLINE;4=>6;4=>4
282;SAFE;4=>6;4=>4
27;RARE;4=>6;4=>4
540;OUTLIER;4=>6;4=>4
288;BORDERLINE;4=>6;4=>4
547;BORDERLINE;4=>6;4=>4
803;BORDERLINE;4=>6;4=>4
40;BORDERLINE;4=>6;4=>4
555;OUTLIER;4=>6;4=>4
300;SAFE;4=>6;4=>4
558;BORDERLINE;4=>6;4=>4
561;RARE;4=>6;4=>4
819;RARE;4=>6;4=>4
820;BORDERLINE;4=>6;4=>4
311;SAFE;4=>6;4=>4
57;SAFE;4=>6;4=>4
58;SAFE;4=>6;4=>4
315;BORDERLINE;4=>6;4=>4
60;BORDERLINE;4=>6;4=>4
61;BORDERLINE;4=>6;4=>4
573;RARE;4=>6;4=>4
68;OUTLIER;4=>6;4=>4
580;BORDERLINE;4=>6;4=>4
581;SAFE;4=>6;4=>4
70;RARE;4=>6;4=>4
582;SAFE;4=>6;4=>4
838;BORDERLINE;4=>6;4=>4
329;BORDERLINE;4=>6;4=>4
330;OUTLIER;4=>6;4=>4
75;BORDERLINE;4=>6;4=>4
332;BORDERLINE;4=>6;4=>4
844;BORDERLINE;4=>6;4=>4
77;BORDERLINE;4=>6;4=>4
78;SAFE;4=>6;4=>4
590;RARE;4=>6;4=>4
335;OUTLIER;4=>6;4=>4
81;BORDERLINE;4=>6;4=>4
593;SAFE;4=>6;4=>4
594;SAFE;4=>6;4=>4
595;BORDERLINE;4=>6;4=>4
84;OUTLIER;4=>6;4=>4
854;SAFE;4=>6;4=>4
344;BORDERLINE;4=>6;4=>4
858;SAFE;4=>6;4=>4
93;BORDERLINE;4=>6;4=>4
349;BORDERLINE;4=>6;4=>4
607;SAFE;4=>6;4=>4
353;BORDERLINE;4=>6;4=>4
614;BORDERLINE;4=>6;4=>4
870;BORDERLINE;4=>6;4=>4
359;SAFE;4=>6;4=>4
105;OUTLIER;4=>6;4=>4
107;OUTLIER;4=>6;4=>4
621;SAFE;4=>6;4=>4
622;BORDERLINE;4=>6;4=>4
880;SAFE;4=>6;4=>4
883;SAFE;4=>6;4=>4
118;SAFE;4=>6;4=>4
632;BORDERLINE;4=>6;4=>4
126;SAFE;4=>6;4=>4
894;BORDERLINE;4=>6;4=>4
127;RARE;4=>6;4=>4
895;BORDERLINE;4=>6;4=>4
128;RARE;4=>6;4=>4
897;RARE;4=>6;4=>4
390;SAFE;4=>6;4=>4
391;BORDERLINE;4=>6;4=>4
650;BORDERLINE;4=>6;4=>4
908;SAFE;4=>6;4=>4
658;OUTLIER;4=>6;4=>4
659;BORDERLINE;4=>6;4=>4
915;OUTLIER;4=>6;4=>4
406;RARE;4=>6;4=>4
667;BORDERLINE;4=>6;4=>4
417;SAFE;4=>6;4=>4
166;BORDERLINE;4=>6;4=>4
167;RARE;4=>6;4=>4
423;RARE;4=>6;4=>4
168;SAFE;4=>6;4=>4
173;BORDERLINE;4=>6;4=>4
433;SAFE;4=>6;4=>4
436;BORDERLINE;4=>6;4=>4
948;BORDERLINE;4=>6;4=>4
439;BORDERLINE;4=>6;4=>4
442;SAFE;4=>6;4=>4
449;BORDERLINE;4=>6;4=>4
709;OUTLIER;4=>6;4=>4
201;OUTLIER;4=>6;4=>4
714;SAFE;4=>6;4=>4
970;SAFE;4=>6;4=>4
459;RARE;4=>6;4=>4
973;RARE;4=>6;4=>4
977;OUTLIER;4=>6;4=>4
723;RARE;4=>6;4=>4
216;BORDERLINE;4=>6;4=>4
984;RARE;4=>6;4=>4
217;BORDERLINE;4=>6;4=>4
733;BORDERLINE;4=>6;4=>4
237;BORDERLINE;4=>6;4=>4
493;RARE;4=>6;4=>4
239;BORDERLINE;4=>6;4=>4
752;OUTLIER;4=>6;4=>4
498;RARE;4=>6;4=>4
505;SAFE;4=>6;4=>4
508;SAFE;4=>6;4=>4
509;SAFE;4=>6;4=>4
765;SAFE;4=>6;4=>4
254;BORDERLINE;4=>6;4=>4
255;SAFE;4=>6;4=>4
768;BORDERLINE;4=>6;4=>5
3;BORDERLINE;4=>6;4=>5
11;BORDERLINE;4=>6;4=>5
525;BORDERLINE;4=>6;4=>5
782;BORDERLINE;4=>6;4=>5
783;BORDERLINE;4=>6;4=>5
20;RARE;4=>6;4=>5
21;BORDERLINE;4=>6;4=>5
535;RARE;4=>6;4=>5
281;BORDERLINE;4=>6;4=>5
282;BORDERLINE;4=>6;4=>5
27;RARE;4=>6;4=>5
540;OUTLIER;4=>6;4=>5
288;RARE;4=>6;4=>5
547;SAFE;4=>6;4=>5
803;BORDERLINE;4=>6;4=>5
40;RARE;4=>6;4=>5
555;OUTLIER;4=>6;4=>5
300;BORDERLINE;4=>6;4=>5
558;RARE;4=>6;4=>5
561;BORDERLINE;4=>6;4=>5
819;RARE;4=>6;4=>5
820;BORDERLINE;4=>6;4=>5
311;BORDERLINE;4=>6;4=>5
57;BORDERLINE;4=>6;4=>5
58;BORDERLINE;4=>6;4=>5
315;BORDERLINE;4=>6;4=>5
60;BORDERLINE;4=>6;4=>5
61;BORDERLINE;4=>6;4=>5
573;RARE;4=>6;4=>5
68;OUTLIER;4=>6;4=>5
580;RARE;4=>6;4=>5
581;SAFE;4=>6;4=>5
70;BORDERLINE;4=>6;4=>5
582;BORDERLINE;4=>6;4=>5
838;BORDERLINE;4=>6;4=>5
329;BORDERLINE;4=>6;4=>5
330;OUTLIER;4=>6;4=>5
75;BORDERLINE;4=>6;4=>5
332;BORDERLINE;4=>6;4=>5
844;BORDERLINE;4=>6;4=>5
77;BORDERLINE;4=>6;4=>5
78;BORDERLINE;4=>6;4=>5
590;RARE;4=>6;4=>5
335;OUTLIER;4=>6;4=>5
81;RARE;4=>6;4=>5
593;BORDERLINE;4=>6;4=>5
594;BORDERLINE;4=>6;4=>5
595;SAFE;4=>6;4=>5
84;OUTLIER;4=>6;4=>5
854;BORDERLINE;4=>6;4=>5
344;RARE;4=>6;4=>5
858;BORDERLINE;4=>6;4=>5
93;BORDERLINE;4=>6;4=>5
349;BORDERLINE;4=>6;4=>5
607;SAFE;4=>6;4=>5
353;BORDERLINE;4=>6;4=>5
614;RARE;4=>6;4=>5
870;BORDERLINE;4=>6;4=>5
359;BORDERLINE;4=>6;4=>5
105;RARE;4=>6;4=>5
107;OUTLIER;4=>6;4=>5
621;SAFE;4=>6;4=>5
622;BORDERLINE;4=>6;4=>5
880;BORDERLINE;4=>6;4=>5
883;BORDERLINE;4=>6;4=>5
118;BORDERLINE;4=>6;4=>5
632;BORDERLINE;4=>6;4=>5
126;SAFE;4=>6;4=>5
894;SAFE;4=>6;4=>5
127;BORDERLINE;4=>6;4=>5
895;BORDERLINE;4=>6;4=>5
128;RARE;4=>6;4=>5
897;RARE;4=>6;4=>5
390;BORDERLINE;4=>6;4=>5
391;BORDERLINE;4=>6;4=>5
650;BORDERLINE;4=>6;4=>5
908;BORDERLINE;4=>6;4=>5
658;OUTLIER;4=>6;4=>5
659;BORDERLINE;4=>6;4=>5
915;OUTLIER;4=>6;4=>5
406;SAFE;4=>6;4=>5
667;BORDERLINE;4=>6;4=>5
417;SAFE;4=>6;4=>5
166;RARE;4=>6;4=>5
167;RARE;4=>6;4=>5
423;RARE;4=>6;4=>5
168;BORDERLINE;4=>6;4=>5
173;RARE;4=>6;4=>5
433;BORDERLINE;4=>6;4=>5
436;BORDERLINE;4=>6;4=>5
948;RARE;4=>6;4=>5
439;BORDERLINE;4=>6;4=>5
442;BORDERLINE;4=>6;4=>5
449;BORDERLINE;4=>6;4=>5
709;OUTLIER;4=>6;4=>5
201;OUTLIER;4=>6;4=>5
714;SAFE;4=>6;4=>5
970;BORDERLINE;4=>6;4=>5
459;RARE;4=>6;4=>5
973;RARE;4=>6;4=>5
977;OUTLIER;4=>6;4=>5
723;RARE;4=>6;4=>5
216;BORDERLINE;4=>6;4=>5
984;SAFE;4=>6;4=>5
217;SAFE;4=>6;4=>5
733;BORDERLINE;4=>6;4=>5
237;BORDERLINE;4=>6;4=>5
493;RARE;4=>6;4=>5
239;BORDERLINE;4=>6;4=>5
752;OUTLIER;4=>6;4=>5
498;RARE;4=>6;4=>5
505;BORDERLINE;4=>6;4=>5
508;BORDERLINE;4=>6;4=>5
509;BORDERLINE;4=>6;4=>5
765;SAFE;4=>6;4=>5
254;BORDERLINE;4=>6;4=>5
255;BORDERLINE;4=>6;4=>5
769;BORDERLINE;4=>5;4=>5
770;BORDERLINE;4=>5;4=>5
6;BORDERLINE;4=>5;4=>5
263;BORDERLINE;4=>5;4=>5
521;BORDERLINE;4=>5;4=>5
14;BORDERLINE;4=>5;4=>5
16;BORDERLINE;4=>5;4=>5
274;BORDERLINE;4=>5;4=>5
275;BORDERLINE;4=>5;4=>5
277;BORDERLINE;4=>5;4=>5
279;BORDERLINE;4=>5;4=>5
796;BORDERLINE;4=>5;4=>5
31;BORDERLINE;4=>5;4=>5
799;BORDERLINE;4=>5;4=>5
292;BORDERLINE;4=>5;4=>5
293;BORDERLINE;4=>5;4=>5
808;BORDERLINE;4=>5;4=>5
557;BORDERLINE;4=>5;4=>5
46;BORDERLINE;4=>5;4=>5
817;BORDERLINE;4=>5;4=>5
818;BORDERLINE;4=>5;4=>5
52;BORDERLINE;4=>5;4=>5
564;BORDERLINE;4=>5;4=>5
309;BORDERLINE;4=>5;4=>5
565;BORDERLINE;4=>5;4=>5
823;BORDERLINE;4=>5;4=>5
824;BORDERLINE;4=>5;4=>5
