162,2.08,1.11,44.97,1.24,3.13,2.81,18.77,14.1,1.92,2.25,2
163,0.29,0.28,29.94,11.53,2.51,1.94,0,24.15,23.86,24.44,2
164,1.76,1.66,46.16,11.4,14.51,47.36,87.97,20.63,11.64,12.67,2
165,6.77,3.03,83.2,1.22,1.35,10.47,6.78,13.74,1.35,6.59,2
166,1.71,1.22,46.37,4.44,13.79,16.41,36.89,26.37,4.73,5.79,2
167,1.78,1.35,53.34,5.05,10.37,27.04,44.09,26.46,5.24,7.06,2
168,1.7,1.22,44.29,7.34,7.01,124.5,12.42,18.98,7.4,9.52,2
169,1.11,0.83,45.85,7.64,9.27,5.6,25.63,49.21,9.3,20.16,2
170,1.36,0.96,52.97,9.35,10.88,9.8,23.94,35.45,10.41,15.82,2
171,2.16,1.47,57.57,-4.77,-7.19,-1.37,31.24,19.86,-2.75,-0.32,2
172,1.3,0.85,45.91,6.71,7.98,3.82,37.17,41.59,9.09,14.38,2
173,1.94,0.49,49.22,4.27,12.4,9.14,11.6,49.15,4.8,6.46,2
174,2.14,1.31,61.89,0.12,0.24,2,44.68,14.42,0.24,2.3,2
175,3.93,3.07,43.53,1.45,2.17,1.94,9.49,35.15,2.98,5.53,2
176,2.29,2.26,5.2,0.41,0.36,1.1,21,1.22,4.54,5,3
177,0.43,0.23,40.79,5.08,8.86,6.95,28.24,7.56,5.93,8.19,3
178,0.7,0.53,31.3,4.37,9.98,6.87,22.72,9.85,5.12,6.77,3
179,0.79,0.63,43.79,3.33,5.16,5.46,24.22,7.32,4.07,6.24,3
180,1.24,0.77,27.59,18.16,11.98,6.12,16.15,0,21.7,28.54,3
181,0.98,0.47,34.36,0.26,0.4,1.3,34.85,32.29,1.11,3.17,3
182,0.54,0.29,36.85,3.45,10.24,368,36.02,0,3.46,4.72,3
183,0.49,0.24,43.55,4.14,7.24,5.69,29.22,21.36,5.03,7.18,3
184,0.8,0.77,14.76,-2.41,-1.47,0.47,47.75,0.59,2.09,11.32,3
185,1.68,1.05,41.09,5.15,10.55,6.82,35.45,26.69,6.04,7.58,3
186,0.88,0.83,34.21,-5.29,-13.52,-13.23,21.88,7.36,-4.92,-4.34,3
187,1.25,0.98,52.33,-0.7,-2.57,-16.79,9.48,3.09,-0.67,0.22,3
188,1.3,1.02,43.28,5.89,6.81,6.21,18.96,40.08,7.02,10.74,3
189,1.52,1.11,28.17,3.03,2.62,2.9,33.86,14.57,4.63,8.47,3
190,1.66,1.61,43.42,2.96,5.96,15.25,34.1,3.35,3.17,5.22,3
191,0.81,0.61,38.79,14.73,10.95,5.96,31.55,52.93,17.7,21.47,3
192,1.06,0.83,35.98,3.43,3.13,2.28,35.86,32.94,6.11,11.36,3
193,0.79,0.3,49.62,0.48,1.5,2.95,38.27,2.72,0.72,2.57,3
194,1.4,1.39,35.29,2.85,5.37,4.9,25.06,0,3.58,6.17,3
195,2.34,1.69,41.39,-10.75,-10.19,-4.59,58.98,0,-8.83,-3.55,3
196,1.28,1.12,19.91,3.68,2.83,4.36,86.99,0,4.78,7.42,3
197,0.46,0.43,53.1,4.81,3.95,3.49,7.1,8.09,6.74,10.89,3
198,1.51,0.97,50.28,4.3,9.35,18.04,39.26,10.42,4.56,6.65,3
199,0.73,0.62,39.1,8.43,6.89,4.54,30.9,0,10.8,14.99,3
200,1.1,0.76,42.15,9.24,22.01,61,0.67,35.59,9.4,11.29,3
201,0.98,0.93,30.22,4.93,3.3,2.16,42.82,0,9.19,15.54,3
202,0.79,0.73,3.94,7.45,10.99,6.43,5.1,0,8.82,9.26,3
203,0.95,0.95,24.44,4.07,3.48,3.93,17.66,0,5.46,13.72,3
204,1.23,1.12,29.49,7.49,3.41,3.43,31.45,0,10.57,18.12,3
205,1.16,1.07,16.03,2.33,4.22,4.56,85.77,10.41,2.99,4.27,3
206,0.87,0.7,36.87,14.48,14.34,8.66,41.5,49.58,16.37,18.52,3
207,1.27,0.62,14.32,17.13,11.58,5.14,19.16,100,21.27,24.66,3
208,1.55,1.54,41.31,0.61,10.94,43.16,3.45,3.84,0.63,0.77,3
209,0.85,0.67,45.94,0.7,0.99,1.54,10.64,14.98,1.98,7.79,3
210,1.48,0.96,34.52,8.88,9.89,5.25,22.19,39.09,10.96,15,3
211,0.95,0.95,11.57,4.21,15.48,4.27,4.3,27.26,5.5,7.52,3
212,1.07,0.85,31.27,2.74,5.37,4.37,51.88,23.78,3.55,7.06,3
213,1.03,0.99,27.9,5.29,13.5,26.61,30.33,50.07,5.5,7.32,3
214,0.8,0.73,29.69,6.78,11.03,5.07,50.2,25.62,8.45,12.02,3
215,1.47,0.86,33.21,0.72,1.3,1.66,67.14,21.46,1.81,2.47,3
216,1.04,1,16.21,3.53,8.35,19.26,71.69,43.82,3.72,6.09,3
217,0.88,0.56,18.14,6.36,14.69,5.96,55.74,35.96,7.64,10.32,3
218,1.38,0.85,44.69,3.33,8.47,9.5,31.57,21,3.72,5.24,3
219,1.19,0.91,38.06,3.13,5.37,4.38,72.14,18.21,4.06,5.75,3
220,0.97,0.97,35.13,12.31,13.51,9.71,26.28,38.71,13.73,17.98,3
221,1.3,1.29,48.84,-2.25,-1.16,-0.05,0,8.33,-0.09,11.47,3
222,1.53,0.24,36.8,1.44,3.32,16.44,18.47,18.69,1.54,2.23,3
223,3.07,2.89,17.42,-1.05,-0.93,0,68.15,14.54,-1.05,3.69,3
224,1.48,0.6,53.48,1.17,3.33,3.9,44.66,9.56,1.58,1.97,3
225,0.74,0.66,19.86,0.87,1.09,1.29,47.3,40.19,3.89,11.34,3
226,1.16,1.05,23.18,1.23,2.44,1.73,37.94,50.23,2.92,5.24,3
227,5.16,4.66,85.81,-21.7,-11.45,-52.31,43.56,17.6,-21.29,-8.62,3
228,0.96,0.17,34.81,0.52,1.72,1.92,7.58,3.96,1.08,1.75,3
229,1.89,1.28,43.33,5.05,8.93,26.29,19.49,22.2,5.24,5.75,3
230,1.25,0.83,51.14,-8.08,-17.18,-50.6,16.34,14.28,-7.93,-6.49,3
231,1.25,1.15,41.39,7.44,19.38,14.01,11.58,0,8.01,12.67,3
232,0.62,0.62,28.68,6.63,10.97,4.07,2.75,35.01,8.78,10.42,3
233,1.29,0.92,24.75,3.07,9.57,3.37,40.72,26.91,4.37,4.66,3
234,1.76,1.12,45.93,0.06,0.13,9.86,55.75,31.54,0.06,3.7,3
235,1.41,1.28,26.53,0.5,2.06,2.47,15.78,0,0.84,3.69,3
236,1.17,1.12,13.09,7.08,6.45,2.49,6.1,46.06,11.85,25.46,3
237,1.04,0.48,45.91,3.12,3.14,1.78,36.93,50.13,7.09,12.85,3
238,0.62,0.25,39.18,0.08,0.17,1.05,12.87,71.26,1.59,7.7,3
239,1.25,1,48.68,-0.8,-1.67,0.3,24.11,32.62,0.33,3.36,3
240,0.83,0.42,32.29,0.67,7.51,3.64,7.95,6.35,0.92,1.09,3
241,0.22,0.09,16.55,9.34,8.97,2.62,39.78,60.12,15.11,20.82,3
242,1.24,0.77,29.31,-3.68,-10.1,-56.96,62.27,12.48,-3.61,-1.95,3
243,0.28,0.2,17.77,4.05,2.07,1.37,36.89,80.61,14.96,19.28,3
244,0.87,0.53,3.25,11.74,37.01,43.66,3.96,43.27,12.02,13.97,3
245,1.8,1.05,41.56,3.86,8.16,6.06,19.92,27.64,4.62,8.64,3
246,1.5,1.45,32.82,7.78,10.78,4.63,20.15,98.6,9.93,13.16,3
247,1.34,1.33,5.25,5.28,9.61,4.09,15.69,9.48,6.99,9.18,3
248,0.82,0.42,43.12,-2.58,-5.45,-1.29,18.89,8.5,-1.45,3.19,3
249,0.96,0.95,18.28,10.13,15.26,7.21,3.18,19.36,11.76,20.12,3
250,0.45,0.4,38.06,4.1,1.92,1.64,23.52,35.05,10.5,17.86,3
251,0.2,0.2,6.24,23.88,20.68,16.14,13.32,17.35,25.46,34.63,3
252,0.69,0.6,32.41,0.46,0.88,1.41,20.34,5.58,1.58,10.35,3
253,1.25,0.89,33.59,12.08,28.96,11.33,16.24,25.65,13.25,15.21,3
254,1.33,1.02,34.05,1.05,4.94,4.45,8.95,7.3,1.35,2.01,3
255,1.16,0.8,12.74,0.53,2,1.62,4.6,1.99,1.38,1.45,3
256,1.58,1.26,21.12,0.52,0.92,1.64,12.28,13.09,1.34,2.59,3
257,1.21,1.14,44.96,-6.98,-4.79,-1.89,3.85,39.4,-4.56,3.42,3
258,1.37,1.12,19.94,-3.64,-2.52,0.56,13.66,40.76,4.71,9.01,3
259,0.47,0.44,30.12,2.73,2.48,1.75,21.07,10.76,6.39,25.35,3
260,0.97,0.82,49.83,7.21,15.58,32.58,20.89,18.05,7.44,9.65,3
261,1.13,0.54,38.34,1.51,4.25,10.74,36.4,0,1.66,3.24,3
262,2.1,2.08,12.59,3.01,3.57,1.44,1.27,9.51,9.8,0,3
263,1.48,1.1,38.87,1.89,5.38,4.73,26.29,13.82,2.4,2.88,3
264,0.85,0.79,35.27,4.88,9.76,7.87,46.52,0,5.59,12.3,3
265,1.03,0.79,22.31,3.7,4.97,2.95,23.4,34.29,5.59,9.14,3
266,1,0.96,56.88,-14.47,-8.77,-5.86,45.68,0,-12.36,8.47,3
267,0.72,0.62,13.41,8.09,8.61,6.07,31.6,42.46,9.68,16.35,3
268,1.37,0.76,38.49,0.11,0.42,1.15,20.82,10.95,0.89,1.16,3
269,1.32,0.64,29.64,3.11,7.39,5.82,33.05,39.01,3.76,5.55,3
270,1.34,0.81,38.83,6.8,12.82,141.06,30.61,24.07,6.85,8.28,3
271,1.55,1,47.1,1.55,2.44,2.75,42.29,0,2.44,4.49,3
272,1.7,1.19,42.01,0.49,0.43,1.3,12.3,14.12,2.1,2.48,3
273,0.76,0.53,13.59,7.03,6.84,2.96,34.59,47.66,10.63,15.49,4
274,0.82,0.76,36.3,1.97,4.14,4.84,43.79,18.15,2.48,3.08,4
275,0.9,0.85,20.88,3.71,6.51,8.09,33.02,18.93,4.23,7.75,4
276,1.08,0.92,38.58,0.77,0.41,1.32,56.36,0,3.21,10.46,4
277,0.67,0.66,15.97,-2.02,-2.78,-0.07,43.07,13.67,-0.13,2.36,4
278,1.1,0.69,24.07,2.02,5.2,4.04,47.81,8.21,2.69,3.26,4
279,1.2,0.9,2.23,-12.32,-13.29,-3.34,36.38,27.35,-9.48,-3.97,4
280,0.87,0.66,-4.5,3.19,3.25,1.71,45.67,32.51,7.67,11.77,4
281,0.87,0.87,7.51,0.23,0.93,1.95,58.38,6.99,0.47,1.26,4
282,0.44,0.35,18.31,0.76,0.43,1.1,41.34,0,8.22,18.41,4
283,1.12,0.79,-9.65,5.92,9.64,4.25,10.2,14.54,7.73,9.11,4
284,0.46,0.18,26.63,0.25,0.85,1.36,31.32,3.47,0.93,2.87,4
285,0.91,0.9,13.47,1.2,15.58,145.5,1.23,3.56,1.2,1.57,4
286,1.02,1.01,13.67,1.61,3.56,3.32,25.89,16.13,2.3,4.38,4
287,1.64,1.02,44.64,-10.38,-5.46,-1.34,33.69,54.98,-5.93,4.12,4
288,0.98,0.7,23.83,-4.82,-6.94,-1.9,15.68,7.16,-3.15,-0.98,4
289,0.92,0.42,-3.45,-2.93,-6.54,-4.03,23.43,8.27,-2.35,-0.87,4
290,0.79,0.72,-33.34,3.16,3.8,1.45,19.66,30.48,10.24,22.82,4
291,0.89,0.65,26.28,6.76,6.26,2.71,40.63,0,10.72,17.54,4
292,1.62,1.08,-3.48,-2.49,-4.89,-0.77,3.8,0,-1.08,1.21,4
293,0.44,0.41,10.8,-31.63,-13.82,-2.91,9.8,38.12,-23.51,-13.37,4
294,0.66,0.64,20.21,3.01,6.95,8.18,25.55,23.75,3.43,5.95,4
295,0.92,0.84,12.49,3.8,6.91,15.86,50.73,9.33,4.06,5.78,4
296,1.01,0.83,25.68,1.35,3.94,2.65,47.59,16.23,2.17,3.09,4
297,0.8,0.68,3.64,0.65,1.56,1.99,38.84,14.36,1.3,6.44,4
298,0.34,0.32,2.49,10.95,6.35,2.66,21.01,0,17.55,57.4,4
299,1.19,0.68,25.91,-0.32,-0.48,0.79,93.29,13.48,1.17,2.06,4
300,0.66,0.19,26.4,0.49,1.75,1.66,10.68,14.45,1.23,1.58,4
301,1.19,0.71,9.09,-3.4,-9.19,-0.61,45.65,27.1,-1.27,-0.3,4
302,1.08,0.67,33.08,5.87,6.91,5.05,40.4,0,7.32,12.02,4
303,1.12,0.58,13.03,1.86,3.39,2.04,60.74,30.33,3.65,4.46,4
304,1.08,0.28,16.95,1.51,4.7,2.98,5.96,16.51,2.28,2.8,4
305,1.04,0.58,15.28,2.09,4.88,12.62,76.39,11.92,2.27,3.37,4
306,0.93,0.52,-6.75,-4.84,-29.29,-4.75,5.42,6.13,-4,-2.75,4
307,1.25,0.98,16.16,-0.4,-0.88,0.32,86.26,18.87,0.18,3.09,4
308,0.32,0.29,13.39,8.15,7.26,3.98,1.87,88.09,10.88,13.61,4
309,0.99,0.92,17.04,-0.11,-0.26,0.93,42.18,26.81,1.41,4.04,4
310,1.08,0.76,12.72,2.95,12.25,9.07,48.84,21.52,3.32,4.21,4
311,1.21,0.59,-4.57,1.19,3.38,30.68,78.91,25.47,1.23,1.34,4
312,1.01,0.39,20.75,-6.67,-9.06,-1.81,56.93,48.04,-4.29,-2.53,4
313,0.39,0.37,13.72,3.83,4.22,1.76,50.1,46.05,8.91,19.03,4
314,0.99,0.89,10.35,0.66,1.93,1.8,13.14,36.95,1.48,3.4,4
315,0.81,0.56,14.26,0.88,6.28,44.29,35.66,5.46,0.9,1.29,4
316,1.23,1.23,4.71,-0.33,-1.97,-0.58,15.15,11.17,-0.13,0.31,4
317,0.65,0.64,12.59,5.51,13.25,7.09,51.9,20.1,6.41,9.79,4
318,0.62,0.59,7.28,3.17,4.68,1.44,53.75,17.17,10.34,13.49,4
319,1.44,0.78,7.85,-8.39,-14.89,-3.21,35.3,16.2,-6.39,-3.83,4
